Sequence,RES_OCC_SCH,RES_LIGHT_SCH,RES_EQP_SCH
1,1,0.067,0.45
2,1,0.067,0.41
3,1,0.067,0.39
4,1,0.067,0.38
5,1,0.187,0.38
6,1,0.394,0.43
7,1,0.44,0.54
8,0.85,0.393,0.65
9,0.39,0.172,0.66
10,0.25,0.119,0.67
11,0.25,0.119,0.69
12,0.25,0.119,0.7
13,0.25,0.119,0.69
14,0.25,0.119,0.66
15,0.25,0.119,0.65
16,0.25,0.206,0.68
17,0.3,0.439,0.8
18,0.52,0.616,1
19,0.87,0.829,1
20,0.87,0.986,0.93
21,0.87,1,0.89
22,1,0.692,0.85
23,1,0.384,0.71
24,1,0.16,0.58
25,1,0.067,0.45
26,1,0.067,0.41
27,1,0.067,0.39
28,1,0.067,0.38
29,1,0.187,0.38
30,1,0.394,0.43
31,1,0.44,0.54
32,0.85,0.393,0.65
33,0.39,0.172,0.66
34,0.25,0.119,0.67
35,0.25,0.119,0.69
36,0.25,0.119,0.7
37,0.25,0.119,0.69
38,0.25,0.119,0.66
39,0.25,0.119,0.65
40,0.25,0.206,0.68
41,0.3,0.439,0.8
42,0.52,0.616,1
43,0.87,0.829,1
44,0.87,0.986,0.93
45,0.87,1,0.89
46,1,0.692,0.85
47,1,0.384,0.71
48,1,0.16,0.58
49,1,0.067,0.45
50,1,0.067,0.41
51,1,0.067,0.39
52,1,0.067,0.38
53,1,0.187,0.38
54,1,0.394,0.43
55,1,0.44,0.54
56,0.85,0.393,0.65
57,0.39,0.172,0.66
58,0.25,0.119,0.67
59,0.25,0.119,0.69
60,0.25,0.119,0.7
61,0.25,0.119,0.69
62,0.25,0.119,0.66
63,0.25,0.119,0.65
64,0.25,0.206,0.68
65,0.3,0.439,0.8
66,0.52,0.616,1
67,0.87,0.829,1
68,0.87,0.986,0.93
69,0.87,1,0.89
70,1,0.692,0.85
71,1,0.384,0.71
72,1,0.16,0.58
73,1,0.067,0.45
74,1,0.067,0.41
75,1,0.067,0.39
76,1,0.067,0.38
77,1,0.187,0.38
78,1,0.394,0.43
79,1,0.44,0.54
80,0.85,0.393,0.65
81,0.39,0.172,0.66
82,0.25,0.119,0.67
83,0.25,0.119,0.69
84,0.25,0.119,0.7
85,0.25,0.119,0.69
86,0.25,0.119,0.66
87,0.25,0.119,0.65
88,0.25,0.206,0.68
89,0.3,0.439,0.8
90,0.52,0.616,1
91,0.87,0.829,1
92,0.87,0.986,0.93
93,0.87,1,0.89
94,1,0.692,0.85
95,1,0.384,0.71
96,1,0.16,0.58
97,1,0.067,0.45
98,1,0.067,0.41
99,1,0.067,0.39
100,1,0.067,0.38
101,1,0.187,0.38
102,1,0.394,0.43
103,1,0.44,0.54
104,0.85,0.393,0.65
105,0.39,0.172,0.66
106,0.25,0.119,0.67
107,0.25,0.119,0.69
108,0.25,0.119,0.7
109,0.25,0.119,0.69
110,0.25,0.119,0.66
111,0.25,0.119,0.65
112,0.25,0.206,0.68
113,0.3,0.439,0.8
114,0.52,0.616,1
115,0.87,0.829,1
116,0.87,0.986,0.93
117,0.87,1,0.89
118,1,0.692,0.85
119,1,0.384,0.71
120,1,0.16,0.58
121,1,0.067,0.45
122,1,0.067,0.41
123,1,0.067,0.39
124,1,0.067,0.38
125,1,0.187,0.38
126,1,0.394,0.43
127,1,0.44,0.54
128,0.85,0.393,0.65
129,0.39,0.172,0.66
130,0.25,0.119,0.67
131,0.25,0.119,0.69
132,0.25,0.119,0.7
133,0.25,0.119,0.69
134,0.25,0.119,0.66
135,0.25,0.119,0.65
136,0.25,0.206,0.68
137,0.3,0.439,0.8
138,0.52,0.616,1
139,0.87,0.829,1
140,0.87,0.986,0.93
141,0.87,1,0.89
142,1,0.692,0.85
143,1,0.384,0.71
144,1,0.16,0.58
145,1,0.067,0.45
146,1,0.067,0.41
147,1,0.067,0.39
148,1,0.067,0.38
149,1,0.187,0.38
150,1,0.394,0.43
151,1,0.44,0.54
152,0.85,0.393,0.65
153,0.39,0.172,0.66
154,0.25,0.119,0.67
155,0.25,0.119,0.69
156,0.25,0.119,0.7
157,0.25,0.119,0.69
158,0.25,0.119,0.66
159,0.25,0.119,0.65
160,0.25,0.206,0.68
161,0.3,0.439,0.8
162,0.52,0.616,1
163,0.87,0.829,1
164,0.87,0.986,0.93
165,0.87,1,0.89
166,1,0.692,0.85
167,1,0.384,0.71
168,1,0.16,0.58
169,1,0.067,0.45
170,1,0.067,0.41
171,1,0.067,0.39
172,1,0.067,0.38
173,1,0.187,0.38
174,1,0.394,0.43
175,1,0.44,0.54
176,0.85,0.393,0.65
177,0.39,0.172,0.66
178,0.25,0.119,0.67
179,0.25,0.119,0.69
180,0.25,0.119,0.7
181,0.25,0.119,0.69
182,0.25,0.119,0.66
183,0.25,0.119,0.65
184,0.25,0.206,0.68
185,0.3,0.439,0.8
186,0.52,0.616,1
187,0.87,0.829,1
188,0.87,0.986,0.93
189,0.87,1,0.89
190,1,0.692,0.85
191,1,0.384,0.71
192,1,0.16,0.58
193,1,0.067,0.45
194,1,0.067,0.41
195,1,0.067,0.39
196,1,0.067,0.38
197,1,0.187,0.38
198,1,0.394,0.43
199,1,0.44,0.54
200,0.85,0.393,0.65
201,0.39,0.172,0.66
202,0.25,0.119,0.67
203,0.25,0.119,0.69
204,0.25,0.119,0.7
205,0.25,0.119,0.69
206,0.25,0.119,0.66
207,0.25,0.119,0.65
208,0.25,0.206,0.68
209,0.3,0.439,0.8
210,0.52,0.616,1
211,0.87,0.829,1
212,0.87,0.986,0.93
213,0.87,1,0.89
214,1,0.692,0.85
215,1,0.384,0.71
216,1,0.16,0.58
217,1,0.067,0.45
218,1,0.067,0.41
219,1,0.067,0.39
220,1,0.067,0.38
221,1,0.187,0.38
222,1,0.394,0.43
223,1,0.44,0.54
224,0.85,0.393,0.65
225,0.39,0.172,0.66
226,0.25,0.119,0.67
227,0.25,0.119,0.69
228,0.25,0.119,0.7
229,0.25,0.119,0.69
230,0.25,0.119,0.66
231,0.25,0.119,0.65
232,0.25,0.206,0.68
233,0.3,0.439,0.8
234,0.52,0.616,1
235,0.87,0.829,1
236,0.87,0.986,0.93
237,0.87,1,0.89
238,1,0.692,0.85
239,1,0.384,0.71
240,1,0.16,0.58
241,1,0.067,0.45
242,1,0.067,0.41
243,1,0.067,0.39
244,1,0.067,0.38
245,1,0.187,0.38
246,1,0.394,0.43
247,1,0.44,0.54
248,0.85,0.393,0.65
249,0.39,0.172,0.66
250,0.25,0.119,0.67
251,0.25,0.119,0.69
252,0.25,0.119,0.7
253,0.25,0.119,0.69
254,0.25,0.119,0.66
255,0.25,0.119,0.65
256,0.25,0.206,0.68
257,0.3,0.439,0.8
258,0.52,0.616,1
259,0.87,0.829,1
260,0.87,0.986,0.93
261,0.87,1,0.89
262,1,0.692,0.85
263,1,0.384,0.71
264,1,0.16,0.58
265,1,0.067,0.45
266,1,0.067,0.41
267,1,0.067,0.39
268,1,0.067,0.38
269,1,0.187,0.38
270,1,0.394,0.43
271,1,0.44,0.54
272,0.85,0.393,0.65
273,0.39,0.172,0.66
274,0.25,0.119,0.67
275,0.25,0.119,0.69
276,0.25,0.119,0.7
277,0.25,0.119,0.69
278,0.25,0.119,0.66
279,0.25,0.119,0.65
280,0.25,0.206,0.68
281,0.3,0.439,0.8
282,0.52,0.616,1
283,0.87,0.829,1
284,0.87,0.986,0.93
285,0.87,1,0.89
286,1,0.692,0.85
287,1,0.384,0.71
288,1,0.16,0.58
289,1,0.067,0.45
290,1,0.067,0.41
